Imports from Country (Unit : US$ Thousand),總計,亞洲,中國大陸,香港,日本,韓國,新加坡,馬來西亞,印尼,越南,泰國,菲律賓,印度,孟加拉,巴基斯坦,澳門,亞塞拜然,柬埔寨,斯里蘭卡,緬甸,不丹,汶萊,尼泊爾,寮國,北韓,哈薩克,烏茲別克,喬治亞,亞美尼亞,土庫曼,塔吉克,吉爾吉斯,中東,沙烏地阿拉伯,科威特,阿拉伯聯合大公國,伊朗,伊拉克,土耳其,卡達,阿曼,以色列,巴林,阿富汗,塞普勒斯,約旦,黎巴嫩,敘利亞,葉門,歐洲,德國,荷蘭,英國,義大利,法國,俄羅斯,西班牙,瑞士,比利時,芬蘭,瑞典,奧地利,波蘭,丹麥,愛爾蘭,匈牙利,葡萄牙,捷克,挪威,斯洛伐克,烏克蘭,希臘,阿爾巴尼亞,保加利亞,教廷,冰島,盧森堡,馬爾他,摩納哥,羅馬尼亞,塞爾維亞,蒙特內哥羅,馬其頓,波士尼亞與赫塞哥維納,克羅埃西亞,斯洛維尼亞,白俄羅斯,摩爾多瓦,立陶宛,愛沙尼亞,拉脫維亞,北美洲,美國,加拿大,中美洲,墨西哥,巴拿馬,哥斯大黎加,巴貝多,巴哈馬,安圭拉,安地卡及巴布達,貝里斯,多明尼克,多明尼加,薩爾瓦多,瓜地馬拉,格瑞那達,海地,宏都拉斯,牙買加,蒙瑟拉特,尼加拉瓜,玻多黎各,聖露西亞,聖文森,千里達及托巴哥,聖克里斯多福及尼維斯,古巴,南美洲,巴西,智利,秘魯,阿根廷,哥倫比亞,玻利維亞,厄瓜多,圭亞那(法屬),蓋亞那,巴拉圭,蘇利南,烏拉圭,委內瑞拉,大洋洲,澳大利亞,紐西蘭,薩摩亞(美屬),斐濟,吉里巴斯,馬爾地夫,諾魯,巴布亞新幾內亞,紐克里多尼亞,萬那杜,所羅門島,大溪地,東加,吐瓦魯,薩摩亞,非洲,南非,安哥拉,赤道幾內亞,剛果,奈及利亞,埃及,賴比瑞亞,阿爾及利亞,波札那,蒲隆地,維德角,喀麥隆,中非共和國,查德,剛果民主共和國,葛摩,貝南,衣索比亞,厄利垂亞,吉布地,加彭,甘比亞,迦納,幾內亞,幾內亞比索,象牙海岸,肯亞,賴索托,利比亞,馬達加斯加,馬拉威,馬利,茅利塔尼亞,摩洛哥,模里西斯,莫三比克,納米比亞,尼日,盧安達,辛巴威,聖多美普林西比,塞內加爾,獅子山,索馬利亞,蘇丹,史瓦帝尼,坦尚尼亞,多哥,突尼西亞,烏干達,布吉那法索,尚比亞
2001年,109585639,58179882,5970374,1863024,26105024,6762758,3386012,4237177,2533924,420310,2199389,3265731,494684,15679,70509,46094,0,10544,10663,29000,2,150,1203,4175,3551,1226,12462,387,182,863,319,111,6610809,2749924,1131999,775387,890554,221336,85343,67716,132810,324173,138337,2,883,11507,490,6922,73427,15168312,4309467,1533286,1480949,1090490,2183328,604499,312833,873597,512428,242927,619470,236295,62556,190035,249640,104047,21233,53384,132874,7910,178778,11842,144,12632,106,11252,15474,24266,1246,38557,0,0,339,91,584,29188,12217,51,4692,2286,190,20101834,19088599,1009666,491373,420350,4220,13688,258,98,1,70,380,79,1158,1168,21668,0,14,1047,156,5,742,22648,0,656,304,50,740,1054109,446201,428738,95155,36425,18839,157,11369,1,387,11287,71,2456,2588,3544570,3092423,345802,1623,4499,0,34,45,12459,85798,835,47,0,231,0,49,2666502,632083,458593,19892,774452,297533,19406,20,25030,0,3,6,147782,2566,1654,243,1,3850,773,103,0,12856,14,9021,158,0,35138,327,14,2076,1395,3394,7513,22,72496,1103,664,520,2510,75,25560,0,296,8,1,15011,6402,2743,16505,2452,4138,2542,57538
2001年1月,9485763,4860189,474599,157733,2166867,588298,302721,331813,204701,43964,197773,245074,70840,1450,4922,3049,0,731,1288,1871,0,19,81,248,32,809,4832,1,0,261,0,42,514249,190194,57072,65414,70476,0,15259,5364,56696,39758,13409,0,23,530,1,20,34,1331037,386030,179596,131377,87807,146021,63595,24801,76953,33323,20773,52546,21537,7573,16630,13293,10415,1987,3094,9754,1763,20631,1271,0,2395,104,575,1527,1802,85,9491,0,0,53,0,31,3050,642,0,284,153,8,1921399,1846976,74292,30466,26801,278,1633,32,27,1,69,1,6,62,60,120,0,0,40,76,0,31,584,0,389,0,11,91,93700,29402,45608,10878,3049,1551,0,1149,0,0,1339,0,413,313,343255,306768,28216,0,1999,0,23,1,855,5331,0,4,0,5,0,0,247128,68807,61130,0,49870,28621,132,0,0,0,0,0,0,114,0,0,0,0,116,0,0,2834,0,208,2,0,1699,2,1,0,76,67,599,0,6163,74,68,86,0,0,3874,0,31,0,0,14653,53,856,0,86,56,0,6851
2001年2月,9270266,4931327,376319,146664,2427256,592040,305460,340590,164311,25109,188380,236814,47404,971,6733,2992,0,649,1325,1659,0,1,42,382,0,0,1531,1,0,0,317,0,473176,200305,56377,107709,57395,0,5033,8725,3350,26262,7905,0,8,61,1,27,18,1245993,344099,121598,166239,97696,128725,47640,24654,77447,30489,36817,55040,25743,4515,16194,15615,6713,1387,4503,12792,536,12249,1153,2,1510,0,557,1014,1368,96,1389,0,0,1,0,80,2809,4420,0,398,294,14,1850610,1769570,80996,25468,21376,81,1168,19,0,0,0,58,26,183,97,11,0,0,180,2,0,48,2093,0,0,0,4,8,93152,40150,38285,7646,3408,1561,8,591,0,0,1044,0,105,354,300067,265952,26168,0,14,0,2,9,879,6951,15,0,0,37,0,0,219261,44187,26697,0,102619,28697,409,0,0,0,0,0,0,0,302,0,0,0,0,32,0,1303,0,277,0,0,874,13,0,0,81,3,741,0,6042,138,14,0,11,0,1683,0,31,1,0,76,303,65,549,286,58,0,3766
2001年3月,10209773,5511315,543299,179669,2597419,613684,291733,392990,215202,42391,193400,297074,58429,1655,6343,4225,0,850,545,3566,2,19,88,820,678,0,280,22,0,0,0,0,517082,254987,57085,5407,130280,0,11290,9387,5070,30581,11792,1,81,882,207,2,32,1341758,394739,118656,139191,102904,122605,67593,29956,88074,32288,33823,52478,27543,6965,18382,34290,13853,1327,4870,9435,811,24410,839,2,706,0,469,2129,2433,520,5756,0,0,1,8,45,3204,322,9,310,179,22,1963935,1877255,86463,46808,36656,147,1051,0,0,0,0,0,2,104,84,7200,0,1,145,4,0,27,1000,0,176,63,16,21,90013,30965,38647,11338,2713,3717,51,1353,0,0,528,17,418,161,299812,263464,29677,0,6,0,0,1,64,6540,0,0,0,4,0,2,288866,48890,56399,0,134017,66,458,0,0,0,3,0,22004,0,0,243,0,0,25,0,0,0,0,188,0,0,6744,23,0,0,170,0,500,0,7156,79,0,27,0,75,806,0,13,1,0,0,272,78,2315,242,0,0,8070
2001年4月,10720892,5589025,570799,191068,2551185,639250,302503,397475,252484,37047,234033,261650,55062,1240,8436,3709,0,1527,573,2860,0,22,130,343,83,0,0,58,180,0,0,0,716035,240081,145517,121627,87919,0,3740,10711,22412,26793,26235,0,74,1321,52,1,29552,1504340,404064,143992,130026,108512,272149,56387,29412,76607,56218,19823,71997,22920,4460,16473,18506,18274,1864,4620,9727,415,19083,1335,23,1536,0,857,3984,3403,45,3187,0,0,120,18,110,2910,428,22,541,88,6,1945934,1854039,91451,39718,34791,174,1629,3,17,0,0,21,3,107,114,15,0,1,135,8,0,108,2196,0,91,72,2,194,79244,27525,36376,8515,2732,1574,5,1209,0,0,636,0,298,273,339193,293118,36087,0,16,0,4,5,1104,8745,68,0,0,0,0,4,363676,67807,102199,0,153946,130,745,0,0,0,0,0,68,14,249,0,0,996,178,0,0,303,0,201,2,0,8697,31,1,0,104,1,1624,0,12220,141,0,182,2,0,4112,0,38,1,0,42,31,556,2816,334,803,218,4886
2001年5月,9132028,4799862,496799,158147,2157074,541918,268448,329829,250134,33891,199742,252559,36484,1122,6584,4522,0,512,1511,2307,0,31,87,287,0,0,974,92,0,0,0,0,532116,207608,78004,23234,68956,47919,4859,4080,670,36007,10170,1,40,167,81,6786,43535,1255649,370415,98857,124455,90745,166531,45652,27329,77322,42274,34589,58134,18263,5157,17770,21222,2659,1690,4944,10234,320,24816,1148,14,344,0,1285,500,1547,54,4491,0,0,0,0,18,1636,273,1,262,422,2,1760125,1667306,92595,37874,27070,74,1356,7,0,0,0,1,12,115,17,7007,0,6,82,7,0,121,1771,0,0,65,7,30,109774,59488,36979,5717,2466,2327,7,1231,0,0,1044,0,285,209,320423,278172,30490,15,1,0,3,0,2212,9368,2,30,0,99,0,0,195773,57939,0,0,24212,32402,9086,1,0,0,0,0,42513,21,390,0,0,1134,0,0,0,1816,0,237,0,0,5352,39,0,0,11,0,1338,0,3798,141,214,21,1,0,606,0,27,1,0,0,832,54,3113,70,736,220,9448
2001年6月,8840629,4676135,451752,135722,2214889,502729,250694,312508,240992,33629,186739,243958,23061,1083,3796,3065,0,2027,530,2752,0,6,28,388,0,0,594,58,0,0,2,0,532808,241161,145710,47742,54986,0,5674,2382,344,24934,6740,0,58,2968,45,1,62,1230392,349841,112897,107191,74495,207509,50740,26407,61546,55845,26321,47360,12308,2739,14360,18679,9519,1303,1730,10393,458,23012,606,0,518,0,658,3160,859,44,4557,0,0,17,1,30,2983,1337,0,542,220,1,1617761,1541267,76391,39951,29588,252,722,24,0,0,0,41,6,86,36,7116,0,0,109,1,0,28,1911,0,0,0,1,32,103495,40509,45357,9420,3089,2151,5,1730,0,386,519,10,160,60,286686,249509,28099,1,6,0,0,0,40,8637,257,0,0,32,0,0,242455,60158,29599,0,77437,57036,251,17,1,0,0,4,224,0,137,0,0,0,34,0,0,624,0,201,0,0,658,1,2,0,21,1,256,0,6041,34,346,0,2487,0,502,0,32,1,0,21,252,248,1876,42,357,0,3556
2001年7月,9384078,4687075,483395,129893,2051747,563206,305843,329907,222909,35001,188329,251028,42600,1621,4419,3041,0,716,1165,2445,0,0,63,494,0,0,0,1,0,0,0,0,691371,317268,154450,53347,109454,0,6372,10398,128,30444,9397,0,56,22,22,3,9,1417803,358071,162165,109367,99112,320459,34327,28564,68541,45732,15517,50808,22295,8131,17902,14957,7660,1518,4293,14406,955,19186,1229,1,614,0,1701,620,4880,122,659,0,0,83,2,44,1628,770,0,731,300,5,1705482,1625326,80107,44634,40671,588,888,8,0,0,0,5,1,68,5,48,0,1,82,21,0,35,2179,0,0,21,1,9,104664,49699,39500,10102,2297,672,1,1092,0,0,1038,10,143,110,314707,270228,33932,0,14,0,0,24,1640,8805,33,0,0,1,0,0,268188,70389,60438,0,56666,54944,470,0,0,0,0,1,243,7,577,0,0,175,73,0,0,1343,0,354,0,0,3462,49,2,0,41,0,696,1,3974,134,0,0,4,0,3526,0,37,1,0,23,2502,84,3452,78,430,0,3998
2001年8月,7862127,4165916,481224,138196,1720155,483528,257412,346730,203037,34007,147652,254189,27266,1256,3687,4642,0,368,927,2280,0,4,64,613,31,2,29,130,0,0,0,0,529964,223367,46930,81912,82351,47883,3110,2517,1366,16966,21911,0,114,1472,32,3,30,1098152,313285,82237,118384,102969,149092,41644,26950,57508,34079,8431,57806,18235,5531,12205,15280,4643,2074,3674,10907,866,17704,1264,55,1934,0,1778,451,2568,37,3105,0,0,4,11,52,1015,1036,2,893,234,25,1388979,1284449,103907,39445,34221,539,1859,7,7,0,0,1,3,54,121,50,0,0,88,3,0,103,1956,0,0,0,2,225,95809,39267,41737,9413,2375,600,9,655,0,0,1169,19,161,291,278243,237637,30767,19,0,0,0,3,1410,8294,51,0,0,1,0,17,143453,33392,26837,0,21559,85,836,1,0,0,0,0,40290,188,0,0,0,437,43,26,0,533,12,6282,0,0,1069,46,1,0,33,187,285,0,6335,60,0,80,4,0,543,0,7,0,0,18,664,92,719,337,756,452,1244
2001年9月,7926817,4233909,433201,139587,1829006,446368,273980,373996,182943,30753,149360,295237,24739,1799,4859,3611,0,489,847,2126,0,6,59,29,306,0,39,19,0,0,0,69,619109,338653,90970,70157,78669,0,9028,4048,405,17846,9234,0,49,42,0,2,7,987750,288689,118151,88194,77662,141412,30055,18629,46151,39466,10596,36592,13727,7071,12281,20459,7830,1990,5079,11535,389,3292,835,4,578,0,1163,196,847,62,2165,0,0,59,23,69,1920,5,0,156,127,10,1290362,1210381,79547,51769,47664,429,742,58,17,0,0,0,8,69,300,28,0,5,47,5,0,32,2202,0,0,0,0,60,87959,44867,31581,5834,2871,168,16,827,0,0,1582,0,55,157,248049,218713,20346,375,51,0,2,0,843,7524,29,1,0,0,0,11,263014,46892,27839,0,90486,50124,68,0,11764,0,0,0,20317,1497,0,0,0,142,123,0,0,827,0,262,147,0,1154,19,1,0,34,346,283,11,5005,131,0,51,0,0,781,0,7,0,0,0,510,218,1322,272,822,769,792
